Company Code	Curve Mnemonic	PWLS v3 Property	Curve Unit Quantity Class	LIS Curve Mnemonic	Curve Description
15	ABDC10X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 10 - Real-time
15	ABDC11M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 11 - Memory
15	ABDC11X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 11 - Real-time
15	ABDC12M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 12 - Memory
15	ABDC12X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 12 - Real-time
15	ABDC13M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 13 - Memory
15	ABDC13X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 13 - Real-time
15	ABDC14M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 14 - Memory
15	ABDC14X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 14 - Real-time
15	ABDC15M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 15 - Memory
15	ABDC15X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 15 - Real-time
15	ABDC16M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 16 - Memory
15	ABDC16X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 16 - Real-time
15	ABDC1M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 1 - Memory
15	ABDC1X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 1 - Real-time
15	ABDC2M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 2 - Memory
15	ABDC2X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 2 - Real-time
15	ABDC3M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 3 - Memory
15	ABDC3X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 3 - Real-time
15	ABDC4M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 4 - Memory
15	ABDC4X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 4 - Real-time
15	ABDC5M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 5 - Memory
15	ABDC5X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 5 - Real-time
15	ABDC6M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 6 - Memory
15	ABDC6X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 6 - Real-time
15	ABDC7M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 7 - Memory
15	ABDC7X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 7 - Real-time
15	ABDC8M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 8 - Memory
15	ABDC8X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 8 - Real-time
15	ABDC9M	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 9 - Memory
15	ABDC9X	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Sector 9 - Real-time
15	ABDCDFM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Down Quadrant - Filtered - Memory
15	ABDCDM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Down Quadrant - Memory
15	ABDCDX	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Down Quadrant - Real-time
15	ABDCLFM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Left Quadrant - Filtered - Memory
15	ABDCLM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Left Quadrant - Memory
15	ABDCLX	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Left Quadrant - Real-time
15	ABDCM	bulk density	mass per volume		LithoTrak - Bulk Density - Compensated - Image - Memory
15	ABDCRFM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Right Quadrant - Filtered - Memory
15	ABDCRM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Right Quadrant - Memory
15	ABDCRX	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Right Quadrant - Real-time
15	ABDCUFM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Up Quadrant - Filtered - Memory
15	ABDCUM	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Up Quadrant - Memory
15	ABDCUX	bulk density	mass per volume		Azimuthal Bulk Density - Compensated - Up Quadrant - Real-time
15	ABDCX	bulk density	mass per volume		Bulk Density - Compensated - Image - Real-time
15	ABSP	pressure	pressure		Absolute pressure in housing
15	ABSPF	pressure	pressure		Absolute pressure in housing
15	ACBH	nom borehole diameter	length		Internal borehole size for QC traveltime estimate
15	ACCL	electric potential	electric potential difference		Analog (continuous) CCL for shooting
15	ACCLX	acceleration	linear acceleration	ACCX	MPC accelerometer X
15	ACCLZ	acceleration	linear acceleration	ACCZ	MPC accelerometer Z
15	ACCM	acceleration	linear acceleration	ACCM	Spartek memory tool acceleration
15	ACCTemp	temperature	thermodynamic temperature		94 ACC_Temp
15	ACCTIM	time interval	time	ACTM	Accumulated time
15	ACCTime	time	time		95 ACC_Time
15	ACCX	x acceleration	linear acceleration		Accelerometer X
15	ACCY	y acceleration	linear acceleration		Accelerometer Y
15	ACCZ	z acceleration	linear acceleration		Accelerometer Z
15	ACCZ2	acceleration	linear acceleration	ACCZ	Accelerometer Z, subset 2
15	ACFC	count	dimensionless		Accelerometer word count
15	ACP1A	array conductivity	capacitance		Average capacitance pad 1 frequency 1
15	ACP1AS	array conductivity	capacitance		Second tool Average capacitance pad 1 frequency 1
15	ACP1B	array conductivity	capacitance		Average capacitance pad 1 frequency 2
15	ACP1BS	array conductivity	capacitance		Second tool Average capacitance pad 1 frequency 2
15	ACP2A	array conductivity	capacitance		Average capacitance pad 2 frequency 1
15	ACP2AS	array conductivity	capacitance		Second tool Average capacitance pad 2 frequency 1
15	ACP2B	array conductivity	capacitance		Average capacitance pad 2 frequency 2
15	ACP2BS	array conductivity	capacitance		Second tool Average capacitance pad 2 frequency 2
15	ACP3A	array conductivity	capacitance		Average capacitance pad 3 frequency 1
15	ACP3AS	array conductivity	capacitance		Second tool Average capacitance pad 3 frequency 1
15	ACP3B	array conductivity	capacitance		Average capacitance pad 3 frequency 2
15	ACP3BS	array conductivity	capacitance		Second tool Average capacitance pad 3 frequency 2
15	ACP4A	array conductivity	capacitance		Average capacitance pad 4 frequency 1
15	ACP4AS	array conductivity	capacitance		Second tool Average capacitance pad 4 frequency 1
15	ACP4B	array conductivity	capacitance		Average capacitance pad 4 frequency 2
15	ACP4BS	array conductivity	capacitance		Second tool Average capacitance pad 4 frequency 2
15	ACP5A	array conductivity	capacitance		Average capacitance pad 5 frequency 1
15	ACP5AS	array conductivity	capacitance		Second tool Average capacitance pad 5 frequency 1
15	ACP5B	array conductivity	capacitance		Average capacitance pad 5 frequency 2
15	ACP5BS	array conductivity	capacitance		Second tool Average capacitance pad 5 frequency 2
15	ACP6A	array conductivity	capacitance		Average capacitance pad 6 frequency 1
15	ACP6AS	array conductivity	capacitance		Second tool Average capacitance pad 6 frequency 1
15	ACP6B	array conductivity	capacitance		Average capacitance pad 6 frequency 2
15	ACP6BS	array conductivity	capacitance		Second tool Average capacitance pad 6 frequency 2
15	ACQI	amount	unitless	acqi	Acquisition index
15	ACQSEQ	tool status	dimensionless		Subset 6 acquisition sequence number
15	ACTINNX1	hole deviation	plane angle		Near Bit Inclination - Real-time
15	ADRHDM	bulk density correction	mass per volume		Azimuthal Delta Rho - Down Quadrant - Memory
15	ADRHDX	bulk density correction	mass per volume		Azimuthal Delta Rho - Down Quadrant - Real-time
15	ADRHLM	bulk density correction	mass per volume		Azimuthal Delta Rho - Left Quadrant - Memory
15	ADRHLX	bulk density correction	mass per volume		Azimuthal Delta Rho - Left Quadrant - Real-time
15	ADRHRM	bulk density correction	mass per volume		Azimuthal Delta Rho - Down Quadrant - Memory
15	ADRHRX	bulk density correction	mass per volume		Azimuthal Delta Rho - Right Quadrant - Real-time
15	ADRHUM	bulk density correction	mass per volume		Azimuthal Delta Rho - Up Quadrant - Memory
15	ADRHUX	bulk density correction	mass per volume		Azimuthal Delta Rho - Up Quadrant - Real-time
15	ADSA10M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 10 - Memory
15	ADSA11M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 11 - Memory
15	ADSA12M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 12 - Memory
15	ADSA13M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 13 - Memory
15	ADSA14M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 14 - Memory
15	ADSA15M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 15 - Memory
15	ADSA16M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 16 - Memory
15	ADSA1M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 1 - Memory
15	ADSA2M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 2 - Memory
15	ADSA3M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 3 - Memory
15	ADSA4M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 4 - Memory
15	ADSA5M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 5 - Memory
15	ADSA6M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 6 - Memory
15	ADSA7M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 7 - Memory
15	ADSA8M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 8 - Memory
15	ADSA9M	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Sector 9 - Memory
15	ADSAFM	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Filtered - Image - Memory
15	ADSAM	bulk density correction	mass per volume		Azimuthal Density - Short Space - Apparent - Image - Memory
15	ADSAX	bulk density correction	mass per volume		Azimuthal Density - Short Space - Image - Real-time
15	ADSTCK	count	dimensionless		Number of waves stacked
15	AG110	concentration	dimensionless	AG	Silver 110 concentration
15	AGCC	gain	dimensionless		AGC control
15	AGND	amount	unitless		Auto ground
15	AGNF1	gain	logarithmic power ratio	AGF1	Acoustic averaged receiver gain
15	AGNF2	gain	logarithmic power ratio	AGF2	Acoustic averaged receiver gain
15	AGNF3	gain	logarithmic power ratio	AGF3	Acoustic averaged receiver gain
15	AGNF4	gain	logarithmic power ratio	AGF4	Acoustic averaged receiver gain
15	AGNFA	gain	logarithmic power ratio	AGFA	Combined acoustic averaged receiver gain
15	AGNN1	gain	logarithmic power ratio	AGN1	Acoustic averaged receiver gain
15	AGNN2	gain	logarithmic power ratio	AGN2	Acoustic averaged receiver gain
15	AGNN3	gain	logarithmic power ratio	AGN3	Acoustic averaged receiver gain
15	AGNN4	gain	logarithmic power ratio	AGN4	Acoustic averaged receiver gain
15	AGNQ1	gain	logarithmic power ratio	AGQ1	Acoustic averaged receiver gain
15	AGNQ2	gain	logarithmic power ratio	AGQ2	Acoustic averaged receiver gain
15	AGNQ3	gain	logarithmic power ratio	AGQ3	Acoustic averaged receiver gain
15	AGNQ4	gain	logarithmic power ratio	AGQ4	Acoustic averaged receiver gain
15	AGNQA	gain	logarithmic power ratio	AGQA	Combined acoustic averaged receiver gain
15	AGNXX1	gain	logarithmic power ratio	AGX1	Acoustic averaged receiver gain
15	AGNXX2	gain	logarithmic power ratio	AGX2	Acoustic averaged receiver gain
15	AGNXX3	gain	logarithmic power ratio	AGX3	Acoustic averaged receiver gain
15	AGNXX4	gain	logarithmic power ratio	AGX4	Acoustic averaged receiver gain
15	AGNXXA	gain	logarithmic power ratio	AGXX	Combined acoustic averaged receiver gain
15	AGNXY1	gain	logarithmic power ratio	AXY1	Acoustic averaged receiver gain
15	AGNXY2	gain	logarithmic power ratio	AXY2	Acoustic averaged receiver gain
15	AGNXY3	gain	logarithmic power ratio	AXY3	Acoustic averaged receiver gain
15	AGNXY4	gain	logarithmic power ratio	AXY4	Acoustic averaged receiver gain
15	AGNXYA	gain	logarithmic power ratio	AGXY	Combined acoustic averaged receiver gain
15	AGNYX1	gain	logarithmic power ratio	AYX1	Acoustic averaged receiver gain
15	AGNYX2	gain	logarithmic power ratio	AYX2	Acoustic averaged receiver gain
15	AGNYX3	gain	logarithmic power ratio	AYX3	Acoustic averaged receiver gain
15	AGNYX4	gain	logarithmic power ratio	AYX4	Acoustic averaged receiver gain
15	AGNYXA	gain	logarithmic power ratio	AGYX	Combined acoustic averaged receiver gain
15	AGNYY1	gain	logarithmic power ratio	AGY1	Acoustic averaged receiver gain
15	AGNYY2	gain	logarithmic power ratio	AGY2	Acoustic averaged receiver gain
15	AGNYY3	gain	logarithmic power ratio	AGY3	Acoustic averaged receiver gain
15	AGNYY4	gain	logarithmic power ratio	AGY4	Acoustic averaged receiver gain
15	AGNYYA	gain	logarithmic power ratio	AGYY	Combined acoustic averaged receiver gain
15	ALHI	acoustic slowness	unitless	alhi	Acoustic log hydrocarbon indicator
15	ALHIX	acoustic slowness	unitless	ALHX	Acoustic log hydrocarbon indicator for QC (X-axis)
15	ALHIY	acoustic slowness	unitless	ALHY	Acoustic log hydrocarbon indicator for QC (Y-axis)
15	ALRTM	flag	dimensionless		Downhole processing method indicator
15	AMA1	ratio	dimensionless	AMA1	Amplitude of apparent sigma (short space)
15	AMA2	ratio	dimensionless	AMA2	Amplitude of apparent sigma (long space)
15	AMA3	ratio	dimensionless	AMA3	Amplitude of apparent sigma (extra long space)
15	AMAV	electric potential	electric potential difference	AMAV	Average amplitude
15	AMAV2	electric potential	electric potential difference	AMV2	Average amplitude (2nd tool)
15	AMAV5	electric potential	electric potential difference	AMV5	Average amplitude times 5 (for plotting scale)
15	AMAV52	electric potential	electric potential difference	AM52	Average amplitude times 5 (for plotting scale)(2nd tool)
15	AMAX	radius	length		Maximum radius
15	AMB1	ratio	dimensionless	AMB1	Amplitude of borehole from fastdx (short space)
15	AMB2	ratio	dimensionless	AMB2	Amplitude of borehole from fastdx (long space)
15	AMB3	ratio	dimensionless	AMB3	Amplitude of borehole from fastdx (extra long space)
15	AMCBF	acoustic amplitude	dimensionless		Amplitude T1R1 (far) for CBL
15	AMCBN	acoustic amplitude	dimensionless		Amplitude T2R1 (near) for CBL
15	AMD1F1	electric potential	electric potential difference		Raw data amplitude T1 frequency 1 (in dB/V)
15	AMD1F2	electric potential	electric potential difference		Raw data amplitude T1 frequency 2 (in dB/V)
15	AMD1F3	electric potential	electric potential difference		Raw data amplitude T1 frequency 3 (in dB/V)
15	AMD1F4	electric potential	electric potential difference		Raw data amplitude T1 frequency 4 (in dB/V)
15	AMD1F5	electric potential	electric potential difference		Raw data amplitude T1 frequency 5 (in dB/V)
15	AMD2F1	electric potential	electric potential difference		Raw data amplitude T2 frequency 1 (in dB/V)
15	AMD2F2	electric potential	electric potential difference		Raw data amplitude T2 frequency 2 (in dB/V)
15	AMD2F3	electric potential	electric potential difference		Raw data amplitude T2 frequency 3 (in dB/V)
15	AMD2F4	electric potential	electric potential difference		Raw data amplitude T2 frequency 4 (in dB/V)
15	AMD2F5	electric potential	electric potential difference		Raw data amplitude T2 frequency 5 (in dB/V)
15	AMD3F1	electric potential	electric potential difference		Raw data amplitude T3 frequency 1 (in dB/V)
15	AMD3F2	electric potential	electric potential difference		Raw data amplitude T3 frequency 2 (in dB/V)
15	AMD3F3	electric potential	electric potential difference		Raw data amplitude T3 frequency 3 (in dB/V)
15	AMD3F4	electric potential	electric potential difference		Raw data amplitude T3 frequency 4 (in dB/V)
15	AMD3F5	electric potential	electric potential difference		Raw data amplitude T3 frequency 5 (in dB/V)
15	AMD4F1	electric potential	electric potential difference		Raw data amplitude T4 frequency 1 (in dB/V)
15	AMD4F2	electric potential	electric potential difference		Raw data amplitude T4 frequency 2 (in dB/V)
15	AMD4F3	electric potential	electric potential difference		Raw data amplitude T4 frequency 3 (in dB/V)
15	AMD4F4	electric potential	electric potential difference		Raw data amplitude T4 frequency 4 (in dB/V)
15	AMD4F5	electric potential	electric potential difference		Raw data amplitude T4 frequency 5 (in dB/V)
15	AMD5F1	electric potential	electric potential difference		Raw data amplitude T5 frequency 1 (in dB/V)
15	AMD5F2	electric potential	electric potential difference		Raw data amplitude T5 frequency 2 (in dB/V)
15	AMD5F3	electric potential	electric potential difference		Raw data amplitude T5 frequency 3 (in dB/V)
15	AMD5F4	electric potential	electric potential difference		Raw data amplitude T5 frequency 4 (in dB/V)
15	AMD5F5	electric potential	electric potential difference		Raw data amplitude T5 frequency 5 (in dB/V)
15	AMD6F1	electric potential	electric potential difference		Raw data amplitude T6 frequency 1 (in dB/V)
15	AMD6F2	electric potential	electric potential difference		Raw data amplitude T6 frequency 2 (in dB/V)
15	AMD6F3	electric potential	electric potential difference		Raw data amplitude T6 frequency 3 (in dB/V)
15	AMD6F4	electric potential	electric potential difference		Raw data amplitude T6 frequency 4 (in dB/V)
15	AMD6F5	electric potential	electric potential difference		Raw data amplitude T6 frequency 5 (in dB/V)
15	AME1	ratio	dimensionless	AME1	Early amplitude after subtracting SGL1
15	AMED	radius	length		Median radius
15	AMEDG	acoustic amplitude	dimensionless		Average refl. amp. per rev. in a/d circuit (gain applied)
15	AMF1	ratio	dimensionless	AMF1	Amplitude of formation from fastdx (short space)
15	AMF2	ratio	dimensionless	AMF2	Amplitude of formation from fastdx (long space)
15	AMF3	ratio	dimensionless	AMF3	Amplitude of formation from fastdx (extra long space)
15	AMFV	electric potential	electric potential difference		Amplitude (mV) T1R1 (far) for CBL
15	AMIN	radius	length		Minimum radius
15	AML1	ratio	dimensionless	AML1	Amplitude of sigma late (short space)
15	AML2	ratio	dimensionless	AML2	Amplitude of sigma late (long space)
15	AML3	ratio	dimensionless	AML3	Amplitude of sigma late (extra long space)
15	AMMAX	electric potential	electric potential difference	AMAX	Amplitude maximum
15	AMMIN	electric potential	electric potential difference	AMIN	Amplitude minimum
15	AMNTH	diameter	length	AMNT	Azimuthal miniumum thickness
15	AMNV	electric potential	electric potential difference		Amplitude (mV) T2R1 (near) for CBL
15	AMP	amount	unitless		Amplitude near transmitter-receiver
15	AMP21	acoustic amplitude	dimensionless		Amplitude T2R1
15	AMPB	ratio	dimensionless	AMPB	Signal amplitude T1R1
15	AMPCB	acoustic amplitude	dimensionless	AMCB	Amplitude T2R1 (near) for CBL
15	AMPF	ratio	dimensionless	AMPF	Amplitude far transmitter-receiver
15	AMPN	ratio	dimensionless	AMPN	Amplitude near transmitter-receiver
15	AMPN1	cement bond amplitude	dimensionless	AMN1	Amplitude T2R1
15	AMPR1	amount	unitless		Floating amplitude T-R1
15	AMPR2	amount	unitless		Floating amplitude T-R2
15	AMPR3	amount	unitless		Floating amplitude T-R3
15	AMPR4	amount	unitless		Floating amplitude T-R4
15	AMPR5	amount	unitless		Floating amplitude T-R5
15	AMPR6	amount	unitless		Floating amplitude T-R6
15	AMPR7	amount	unitless		Floating amplitude T-R7
15	AMPR8	amount	unitless		Floating amplitude T-R8
15	AMPSS	electric current	electric current		Computed Amperage
15	AMXTH	diameter	length	AMXT	Azimuthal maximum thickness
15	ANG	plane angle	plane angle		Tool-to-centroid angle
15	ANGCEN	plane angle	plane angle	CANG	Centroid centered angles of radii
15	ANGSGT	plane angle	plane angle		Tool-to-centroid angle subset 1
15	ANGW	plane angle	plane angle		Tool-to-centroid angle
15	ANI    	amount	unitless		Anisotropy
15	ANIA   	amount	unitless		Average Anisotropy
15	ANISTI 	amount	unitless		TI Anisotropy
15	Annular Pressure After	pressure	pressure		Annular Pressure After - Real-time
15	Annular Pressure Before	pressure	pressure		Annular Pressure Before - Real-time
15	AOFF	amount	unitless		Analog offset
15	APE10M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 10 - Memory
15	APE11M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 11 - Memory
15	APE12M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 12 - Memory
15	APE13M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 13 - Memory
15	APE14M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 14 - Memory
15	APE15M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 15 - Memory
15	APE16M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 16 - Memory
15	APE1M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 1 - Memory
15	APE2M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 2 - Memory
15	APE3M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 3 - Memory
15	APE4M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 4 - Memory
15	APE5M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 5 - Memory
15	APE6M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 6 - Memory
15	APE7M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 7 - Memory
15	APE8M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 8 - Memory
15	APE9M	photoelectric factor	energy per area		Azimuthal Photoelectric Factor - Sector 9 - Memory
